Diagnose 1,Diagnose 2,,p-values for RR
C34,D63,"3,1",0
C50,C78,"3,81",0
C50,C79,"6,6",0
C50,I97,"10,16",0
C61,C79,"8,13",0
C61,D63,"5,04",0
E10,E16,"20,4",0
E10,H36,"17,52",0
E11,A41,"1,59",0
E11,D64,"1,42",0
E11,E10,"6,09",0
E11,E16,"6,37",0
E11,E86,"1,34",0
E11,H36,"7,43",0
E11,I46,"1,7",0
E11,L97,"3,55",0
E11,N18,"2,44",0
F10,J96,"1,8",0
H25,H26,"4,25",0
I10,D64,"1,02","9,463E-10"
I10,E86,"1,04","4,959E-21"
I10,I46,"1,14","5,804E-37"
I10,N18,"1,64",0
I10,N19,"1,6",0
I20,H25,"1,04","1,358E-16"
I20,I46,"1,3","3,353E-118"
I20,I73,"1,79",0
I20,N18,"1,1","5,404E-44"
I21,I25,"3,94",0
I48,E86,"1,03","3,38E-10"
I50,E86,"1,14","6,6E-150"
I63,I69,"6,23",0
I64,E86,"1,09","9,561E-34"
I64,I69,"5,45",0
I80,D68,"12,99",0
J00,J35,"1,35","5,118E-56"
J44,I46,"1,98",0
J44,J96,"6,18",0
J45,J96,"3,06",0
M54,F17,"1,14","1,298E-13"
N40,A41,"1,17","6,8E-88"
N40,C61,"1,56",0
N40,F03,"1,1","2,512E-23"
N63,C79,"1,71","1,721E-139"
N92,I10,"1,22","4,415E-165"
N97,E66,"1,27","3,384E-120"
J45,M81,"1,92",0
E04,E89,"18,03",0
E11,N19,"2,24",0
M62,M81,"1,18","8,545E-31"
I70,E86,"1,11","7,85E-38"
E11,E14,"6,79",0
I20,I95,"1,72",0
I70,A41,"1,4",0
I70,J96,"1,08","3,84E-14"
K35,K43,"2,91",0
J44,A41,"1,15","2,914E-163"
I35,K04,"11,69",0
I10,I69,"2,03",0
N40,N39,"1,78",0
F10,A41,"1,57",0
C20,C78,"9,68",0
F10,J18,"1,79",0
C50,I89,"4,71",0
F10,E86,"2,58",0
G45,I69,"3,36",0
I35,K05,"10,62",0
I48,I46,"1,5",0
M62,K59,"1,29","2,742E-80"
I20,J90,"1,18","3,036E-35"
M17,I10,"1,06","9,17E-63"
E11,J96,"1,21","8,827E-199"
I20,E78,"4,83",0
I70,I46,"1,72","1,851E-237"
E11,E87,"1,69",0
J44,J15,"3,01",0
M62,F17,"1,24","1,165E-14"
I20,I50,"2,04",0
M62,I10,"1,24","7,002E-165"
F10,J15,"1,87",0
C20,E86,"1,59",0
C18,E86,"1,43",9.429015e-317
G45,F03,"1,42","1,497E-143"
E11,L98,"2,41",0
C50,D63,"2,12",0
C50,L90,"2,48",0
E10,N18,"4,56",0
I10,F03,"1,11","8,484E-70"
G35,N39,"4,86",0
I70,J18,"1,13","1,747E-147"
I25,J15,"1,09","4,236E-47"
M54,N39,"1,1","2,742E-26"
E11,N39,"1,47",0
F10,K72,"5,18",0
C50,G95,"5,28",0
I20,D50,"1,16","1,93E-50"
J42,J96,"4,16",0
J44,M81,"2,2",0
I50,I46,"2,7",0
F10,I46,"2,08",0
N40,N99,"3,43",0
I25,N18,"1,76",0
I48,D68,"3,06",0
M54,K59,"1,3","2,042E-195"
I10,E87,"1,6",0
M51,M96,"14,32",0
E11,F03,"1,35",0
C50,C77,"5,9",0
M35,E86,"1,17","3,302E-26"
J44,C34,"1,27",0
G35,N30,"4,98",0
E10,E86,"1,59",0
E11,L89,"2,24",0
E10,A41,"2,35",0
F10,D64,"1,97",0
I70,D64,"1,14","7,086E-76"
E10,I46,"2,27",0
F10,N39,"1,4",4.489491e-310
I70,J15,"1,14","4,286E-36"
C43,C79,"10,4",0
C43,C77,"18,79",0
C20,K56,"5,84",0
E11,J15,"1,18","9,288E-131"
N63,C77,"2,42","1,325E-288"
C20,K91,"9,26",0
K44,E86,"1,14","6,212E-14"
E11,I73,"1,67",0
C61,G95,"8,65",0
N40,N30,"1,93",0
I25,I46,"2,1",0
I50,N18,"2,3",0
C67,D63,"3,98",0
I64,J15,"1,1","1,012E-20"
D30,C79,"1,16","2,553E-18"
I20,J22,"1,13","1,184E-10"
J45,M85,"1,53","5,114E-86"
E10,L97,"6,45",0
